,736,3928,2690,0,0,0,3192,2089,2166,2381,4760,1697,0,0,0,0,0
,-736,-3928,-2690,0,0,0,3192,2089,2166,0,0,0,2381,4760,1697,0,0
,736,3928,2690,0,0,0,3192,2089,2166,-2381,-4760,-1697,0,0,0,0,0
,-736,-3928,-2690,0,0,0,3192,2089,2166,0,0,0,-2381,-4760,-1697,0,0
,0,0,0,3534,2876,2058,154,-4143,2036,2222,-1791,-3034,2222,-1791,-3034,0,0
,0,0,0,-3534,-2876,-2058,154,-4143,2036,-2222,1791,3034,2222,-1791,-3034,0,0
,0,0,0,3534,2876,2058,154,-4143,2036,-2222,1791,3034,-2222,1791,3034,0,0
,0,0,0,-3534,-2876,-2058,154,-4143,2036,2222,-1791,-3034,-2222,1791,3034,0,0
,1400,1762,-2847,-2082,553,2803,894,-265,-2764,915,1889,-644,-2003,1946,-1500,2446,2553
,1400,1762,-2847,2082,-553,-2803,894,-265,-2764,915,1889,-644,2003,-1946,1500,-2446,-2553
,-1400,-1762,2847,2082,-553,-2803,894,-265,-2764,2003,-1946,1500,915,1889,-644,2446,2553
,-1400,-1762,2847,-2082,553,2803,894,-265,-2764,-2003,1946,-1500,915,1889,-644,-2446,-2553
,1400,1762,-2847,-2082,553,2803,894,-265,-2764,-915,-1889,644,2003,-1946,1500,2446,2553
,1400,1762,-2847,2082,-553,-2803,894,-265,-2764,-915,-1889,644,-2003,1946,-1500,-2446,-2553
,-1400,-1762,2847,2082,-553,-2803,894,-265,-2764,-2003,1946,-1500,-915,-1889,644,2446,2553
,-1400,-1762,2847,-2082,553,2803,894,-265,-2764,2003,-1946,1500,-915,-1889,644,-2446,-2553
,3205,-1296,883,-1385,2839,-1589,-2568,1292,663,-3216,-596,856,-1427,1659,-3310,2553,-2446
,3205,-1296,883,1385,-2839,1589,-2568,1292,663,-3216,-596,856,1427,-1659,3310,-2553,2446
,-3205,1296,-883,1385,-2839,1589,-2568,1292,663,1427,-1659,3310,-3216,-596,856,2553,-2446
,-3205,1296,-883,-1385,2839,-1589,-2568,1292,663,-1427,1659,-3310,-3216,-596,856,-2553,2446
,3205,-1296,883,-1385,2839,-1589,-2568,1292,663,3216,596,-856,1427,-1659,3310,2553,-2446
,3205,-1296,883,1385,-2839,1589,-2568,1292,663,3216,596,-856,-1427,1659,-3310,-2553,2446
,-3205,1296,-883,1385,-2839,1589,-2568,1292,663,-1427,1659,-3310,3216,596,-856,2553,-2446
,-3205,1296,-883,-1385,2839,-1589,-2568,1292,663,1427,-1659,3310,3216,596,-856,-2553,2446